name,whisky_type,volume(cl),alcohol(%),alcohol_density,price(£),price_per_cl,style_body,style_richness,style_smoke,style_sweetness,country,region,casktype,cask_group,bottler,bottler_group,is_independent,colouring,age,vintage,bottling_decade,is_vintage,has_age,has_bottling_decade,is_nas,characters,nose,palate,finish,food_paring,reviews,is_no_note,url,strong_smoke,style_missing,flavour_note,smoky_family,fruity_family,floral_family,herbal_family,sweet_family,nutty_family,spicy_family,woody_family,earthy_family,malty_family,creamy_family,wine_family,marine_family,other_family,body_tag,richness_tag,smoke_tag,sweetness_tag,flavour_pattern,family_combo,F1,F2
Blended Scotch TB-BSW6 Year Old Thompson Bros,blended,70.0,46.0,3220.0,34.25,0.4892857142857142,3.0,3.0,0.0,3.0,scotland,unknown_scotland,not specified,unknown,,thompson bros,1,False,6.0,,,0,1,0,0,"Figs, Sultana, Cinnamon, Nutmeg, Toffee, Coffee","Plum sauce, miso, golden sultanas, cinder toffee and coffee crème patissiere","Golden sultanas, raisin loaf, buttered Jamaica cake, maple and toasted cinnamon","Soft warm spice; allspice, nutmeg and cinnamon, with orange peel and dried figs",,"Stunning stuff for the money, might well be my new house dram. Soft, beautifully textural with restrained sherry sweetness. || This is great value for money if you’re looking for a regular sipper at a great price . 46%, natural colour and non chill filtered. I ‘ll definitely be being another bottle. || This is super. Tried it with a friend and had a blind tasting of 4 other drams. This came out tops. Even knocked the socks off 3 Islay malts. In our tasting. || Excellent balanced dram. One of best, new generation blended whiskies on the market, a must try. NK || Great value for a rich tasting scotch. Love it. || Forced to write a review having taken a punt and bought a bottle as a regular inexpensive ""sipper"". Usually Naked Grouse fills this space in my cabinet, which I find terrific value, and usually can get for near enough £20, and hits those sherry malty notes I find quaffable. However TB/BSW is a far superior product. Very sherried and thick treacle, hitting many of the notes as a GlenAllachie 15, and at half the price. Non chill filtered and no colour added to boot. This really is a great addition to any collection for a fan of big sherry cask influence, with great depth of flavour and complexity, and in my view unrivalled value for money in the sub £35 level. || Excellent liquid and great value! || Reputedly from Edrington stock this is a lovely sherry bomb of a blend. The grain is almost  imperceptible, this tastes more like a classic Speyside sherried malt with all the Xmas cake vibes that entails. After a while open oxidation resulted in a sulphur note that came to dominate proceedings a little so if you're sensitive to that you may wish to swerve this one (minus a star for that). However overall value is excellent!",0,https://www.thewhiskyexchange.com/p/67983/blended-scotch-tb-bsw-6-year-old-thompson-bros,0,0,"Figs, Sultana, Cinnamon, Nutmeg, Toffee, Coffee Plum sauce, miso, golden sultanas, cinder toffee and coffee crème patissiere Golden sultanas, raisin loaf, buttered Jamaica cake, maple and toasted cinnamon Soft warm spice; allspice, nutmeg and cinnamon, with orange peel and dried figs",0,1,0,0,1,0,1,0,0,0,0,0,0,0,medium,round,non,balanced,medium_round_non_balanced,"('fruity', 'sweet', 'spicy')",-0.12475652067245775,-0.278845551456168
Johnnie Walker Blue Label,blended,70.0,40.0,2800.0,158.0,2.257142857142857,3.0,3.0,1.0,2.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,"Rose, Hazelnut, Honey, Smoke, Dark Chocolate, Tobacco","Smooth, silky cereal, syrupy flapjacks, polished oak. Dessicated coconut, then other nutty notes: unsalted peanut, brazil nut.","A silky caress. Unexpectedly strong spicy entry, but always honeyed and rounded by some toasty oak. The honeyed malt is beautifully interwoven around the venerable grain, which must be absolutely ancient.","A perfectly-integrated slow fade of the palate. Mouthwatering grain, and the honey and spices dwindle slowly. Extremely long but still very gentle.","Octopus, Monkfish, Fondue","Un elixir. || Excellent Whisky. Smooth on the palate, easy to drink and exceptionally good. || Not worth the price. Bought it due to all the hype surrounding it and was disappointed. I would prefer a bottle of single malts such as Glenfiddich over it.",0,https://www.thewhiskyexchange.com/p/552/johnnie-walker-blue-label,0,0,"Rose, Hazelnut, Honey, Smoke, Dark Chocolate, Tobacco Smooth, silky cereal, syrupy flapjacks, polished oak. Dessicated coconut, then other nutty notes: unsalted peanut, brazil nut. A silky caress. Unexpectedly strong spicy entry, but always honeyed and rounded by some toasty oak. The honeyed malt is beautifully interwoven around the venerable grain, which must be absolutely ancient. A perfectly-integrated slow fade of the palate. Mouthwatering grain, and the honey and spices dwindle slowly. Extremely long but still very gentle.",0,0,1,0,1,1,1,1,1,1,0,0,0,1,medium,round,light_smoke,balanced,medium_round_light_smoke_balanced,"('floral', 'sweet', 'nutty', 'spicy', 'woody', 'earthy', 'malty', 'other')",-0.1354182111147497,0.7806240078439443
The Big Ben,blended,50.0,40.0,2000.0,23.5,0.47,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,"Medium weight, malty nose, with hints of orange peel.","Medium depth, hints of smokiness and sweetness, round and smooth on palate.",Elegant finish.,,Very pleased with the whiskey. Highly recommend,0,https://www.thewhiskyexchange.com/p/18213/the-big-ben,0,1,"Medium weight, malty nose, with hints of orange peel. Medium depth, hints of smokiness and sweetness, round and smooth on palate. Elegant finish.",0,1,0,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,
J&B Rare,blended,70.0,40.0,2800.0,25.25,0.3607142857142857,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,no description,no description,no description,,"Very nice || Was delighted to find this whisky and at a very reasonable price from the Whisky Exchange. I bought it for my son's birthday, it's his favourite, he was delighted. I was disappointed I couldn't find J and B in a litre bottle, had to settle for 70cl || Have always considered this to be the best, but it is very difficult to find in any shops || a beautiful scotch not overwhealming, but a lingering flavour sadly not available as it used to be",1,https://www.thewhiskyexchange.com/p/544/jb-rare,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Dimple 15 Year OldLitre,blended,100.0,43.0,4300.0,69.95,0.6995,3.0,3.0,0.0,3.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,Unknown,15.0,,,0,1,0,0,"Caramel, Cinnamon, Vanilla, Dark Chocolate",no description,no description,no description,,,0,https://www.thewhiskyexchange.com/p/79846/dimple-15-year-old-litre,0,0,"Caramel, Cinnamon, Vanilla, Dark Chocolate",0,0,0,0,1,0,1,0,0,0,0,0,0,0,medium,round,non,balanced,medium_round_non_balanced,"('sweet', 'spicy')",-0.12475652067245775,-0.278845551456168
Dimple Gold Selection,blended,70.0,40.0,2800.0,36.5,0.5214285714285715,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,no description,no description,no description,,"Great whiskey,at a bargain price. Smooth on the palate,rich taste || I bought this as an alternative to Haig original. It has the Haig notes I remember, but sadly was too infused with caramel for me to truly enjoy it.",1,https://www.thewhiskyexchange.com/p/33092/dimple-gold-selection,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker Swing,blended,70.0,40.0,2800.0,61.75,0.8821428571428571,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,"Complex and sophisticated with almost perfumed sweetness. Unquestionably soft and accessible, you are sure to notice the fanciful vanilla and sherry-cask wood notes wafting through.","Smooth and sweet. But its light freshness cloaks a deeper fruitiness, with some smoke and restrained flavors lingering beyond.","A lengthy and rich finish, reverberating with sweetness, completes the movement.",,"Certainly overpriced for what it is -- I pick up a fair bit of Cardhu malt on the palate, so if that's a whisky to your liking, you'll enjoy Swing. It's an effortlessly inoffensive blend, nicely balanced and integrated. Nothing really stands out (apart from the glorious nose), but nothing upsets, either. Frightfully easy to drink, tasty, but once again, a bit too bruising to the wallet. My bottles are from pre-2009, so YMMV with the more contemporary bottlings. || I have tried SWING and really liked it. Its taste was outstanding and compares with JW Blue, and I really thought nothing could compare to JW Blue. || I was bought a bottle for a birthday present and not being a whiskey drinker I was very surprised to find only half a bottle left the next morning!! Count me as a convert || Of all the Johnnies, this is the goto swig. || ""Nose"" (undiluted) Invitingly floral with gentle sherry notes, followed by a wisp of smoke. Malty too. ""Palate"" (undiluted) Sweet wild honey smeared on dark toast. Light sherry notes (think dark red fruit) make an appearance before a transition to spiced vanilla and butterscotch. ""Finish"" (undiluted) Sherry still there. Some oak comes to the forefront before fading to a final dark red fruit note (due to the sherry influence) .",0,https://www.thewhiskyexchange.com/p/14202/johnnie-walker-swing,0,1,"Complex and sophisticated with almost perfumed sweetness. Unquestionably soft and accessible, you are sure to notice the fanciful vanilla and sherry-cask wood notes wafting through. Smooth and sweet. But its light freshness cloaks a deeper fruitiness, with some smoke and restrained flavors lingering beyond. A lengthy and rich finish, reverberating with sweetness, completes the movement.",0,0,0,0,1,0,0,1,0,0,0,1,0,1,,,,,,,,
Chivas Regal 12 Year Old,blended,70.0,40.0,2800.0,24.25,0.3464285714285714,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,12.0,,,0,1,0,0,"Honey, Vanilla, Apple, Pear, Butterscotch, Heather",no description,no description,no description,,"Very mundane. Not bad but far from good. Its got a bite which doesn't bother me of it has a smooth finish. It does not. I can't detect notes of anything like a Speyside is known for no fruit or toffee or anything. And I don't disdain a good Blended Scotch. This just ain't in the toppins. || The worst whiskey I have ever tasted. Yes, someone might call it smooth, but it completely lacks any distinguishing flavors, no character! I really don't know how it can be so popular all over the world. In my opinion, ?ther 12 year old blends like Dewars 12 and Grants 12 are much better with more distinguished aromas and taste. I won't give this even to my worst enemy. || Disgusting all burn and a big blast of alcohol not even worth £ 1 . Had to give 1 star or review not accepted otherwise would give it minus 5 stars .probably not even useful as drain cleaner! || The nose is stewed fruits, mainly apple, red and green. Not much else after that. Same for the taste. Nice and sweet with white pepper at the end. Good price for it though. || Wow fab",0,https://www.thewhiskyexchange.com/p/448/chivas-regal-12-year-old,0,1,"Honey, Vanilla, Apple, Pear, Butterscotch, Heather",0,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
Te Bheag,blended,70.0,40.0,2800.0,34.5,0.4928571428571429,,,,,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,,,,0,0,0,1,no description,no description,no description,no description,,"re review last time in my review i said awsome well balanced witch i was referring to the te bheag and not to the Glenfidish 12 , right now just finished pouring myself a second wee dram and again a hidden gem its like walking on the beach and breating in that sea salt air. sweet and relaxed. || I'm a single-malt guy, but I tried this many years ago while sharing a friend's birthday cake and it blew me away. Years later I continue to be impressed by its warmth and complexity. It was great value for the money back then and, thankfully, still is! || awsome well balanced just finished a wee dram of glenfidish 12 this is by far way better more complex || Yes - bought some whilst staying in Skye - fabulous blend that I have never found anything to match. I have recommended to many friends but had to stop as there was none left on the shelves! || While traveling in Scotland I purchased a bottle at the distillery. I fell in love with it. My girlfriend was suffering from a cold but doesn't drink whiskey. She took a dram, then a second and loved it. Tried to find it in the US but they couldn't import it back then.",1,https://www.thewhiskyexchange.com/p/649/te-bheag,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Johnnie Walker Black Label 12 Year Old,blended,70.0,40.0,2800.0,30.75,0.4392857142857143,2.0,2.0,3.0,2.0,scotland,unknown_scotland,not specified,unknown,,distillery bottling,0,True,12.0,,,0,1,0,0,"Cream, Toffee, Dried Fruit, Smoke","Soft and complex with touches of toasted oak, honey, coconut, and figs.",Spicy with a nice allspice note on top and caramel syrup sweetness underneath.,"Hints of lemon-lime citrus develop later, and last through the long finish.","Octopus, Monkfish, Fondue","Johnnie Walker Black Label is one of the iconic blends. If you're a beginner- this is a whisky you should try. Before JWB I tried basic versions of JW, Grant's, Ballantine's. To me JWB was on a different level of complexity. This is not a single malt but it has a very smooth, consistent taste, I get notes of tobacco, oak, some grass, smoky finish. Great on ice or with a bit of water. || Really enjoyed this for a while until it started to give me an after taste of soap. Put me off it after that || Boring, flat and bland. Truly unremarkable. || I wanted to like this, but it's really just all a bit flat. You can tell that the flavours are there but they are so reduced to make this all a bit bland, unfortunately. It could really do with a couple of more points on the alcohol percentage. There is a bit of smoke and a bit of toffee and a bit of oil on the tongue, just not enough of any of those factors. Don't add ice or water, any flavour that is there will be nullified. Maybe I'm being harsh coming from some of the big single malt flavours, but I'm always interested in what the blenders can do. I bought this on offer, to contradict myself, I'll keep it to mix with cola and ice, or even IRN BRU. || I want to rate this three stars, but as soon as you’re out for dinner somewhere that doesn’t have a good selection of scotch JWB becomes a five star expression. Probably the best feature is the perfect 50/50 blend of Islay peat smoke and charred oak barrel smoke. Though, I’m still not a fan of the heavy peatedness. And would prefer the oak char only. Nevertheless, on a lot of ice as it is served in bars and restaurants, this totally hits the spot. It’s completely reliable. For the price, this is impossible to beat. Very good blend of sweet, vanilla, leather and peppered tannins. There really isn’t anything else available that is this versatile. Definitely nothing at this price.",0,https://www.thewhiskyexchange.com/p/550/johnnie-walker-black-label-12-year-old,1,0,"Cream, Toffee, Dried Fruit, Smoke Soft and complex with touches of toasted oak, honey, coconut, and figs. Spicy with a nice allspice note on top and caramel syrup sweetness underneath. Hints of lemon-lime citrus develop later, and last through the long finish.",0,1,0,0,1,0,1,1,0,0,0,0,0,1,medium,round,smoky,balanced,medium_round_smoky_balanced,"('fruity', 'sweet', 'spicy', 'woody', 'other')",-1.3935006332493576,1.7231211035966214
